Altium Designer Pick and Place Locations
C:\Users\Michael Bonani\Documents\Thymio\electronics-thymio2\output\aci\Pick Place for thymio2-main(Production Thymio2).txt

========================================================================================================================
File Design Information:

Date:       23.11.17
Time:       21:23
Revision:   Not in VersionControl
Variant:    Production Thymio2
Units used: mm

Designator Comment                                    Layer       Footprint             Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                            
Q48        BC817-40                                   BottomLayer SOT23_N               -26.5250     6.7750       360      "NPN General-purpose Transistor"                                                                                                       
R158       100K                                       BottomLayer RESC1608X06L          -26.0500     4.2500       180      Resistor                                                                                                                               
R157       100K                                       BottomLayer RESC1608X06L          -23.8250     5.0000       270      Resistor                                                                                                                               
C75        100nF                                      BottomLayer CAPC1608X08L          -29.1000     6.1750       90       Capacitor                                                                                                                              
B2         "Motor connector 89400-0220"               BottomLayer BAT-2                 12.7250      -8.1750      90       "Motor, General Kind"                                                                                                                  
T3         DMP21DOUT-7                                BottomLayer SOT50P160X80-3N       5.4250       -8.6250      270      "Transistor MOSFET 1 x P Pining : 1=G, 2=S, 3=D"                                                                                       
R154       820                                        BottomLayer RESC1608X06L          10.7165      -12.3000     180      Resistor                                                                                                                               
R153       820                                        BottomLayer RESC1608X06L          20.5500      -6.9000      180      Resistor                                                                                                                               
R152       820                                        BottomLayer RESC1608X06L          -16.9250     -14.6500     90       Resistor                                                                                                                               
R151       820                                        BottomLayer RESC1608X06L          -3.9250      -15.1000     270      Resistor                                                                                                                               
L4         MLP2520S3R3S                               BottomLayer INDC2520X12L          8.0000       -9.4642      270      "Inductors for Power Circuits  Multilayer/STD  Magnetic Shielded"                                                                      
L3         MLP2520S3R3S                               BottomLayer INDC2520X12L          16.4750      -9.1250      180      "Inductors for Power Circuits  Multilayer/STD  Magnetic Shielded"                                                                      
L2         MLP2520S3R3S                               BottomLayer INDC2520X12L          -7.1000      -11.3250     90       "Inductors for Power Circuits  Multilayer/STD  Magnetic Shielded"                                                                      
L1         MLP2520S3R3S                               BottomLayer INDC2520X12L          -15.3500     -10.6250     90       "Inductors for Power Circuits  Multilayer/STD  Magnetic Shielded"                                                                      
R136       10K                                        BottomLayer RESC1608X06L          -11.6500     -65.6000     360      Resistor                                                                                                                               
U26        AP7331-33WG-7                              BottomLayer SOT95P285X100-5N      -12.3250     -63.0250     180      "300mA, Low Quiescent Current, Fast Transient LDO"                                                                                     
C72        4.7uF                                      BottomLayer CAPC1608X08L          -15.2500     -63.0000     270      Capacitor                                                                                                                              
C40        10uF                                       BottomLayer CAPC1608X08L          -9.2500      -62.5000     270      Capacitor                                                                                                                              
R149       100                                        TopLayer    RESC1608X06L          29.9000      -41.7000     360      120                                                                                                                                    
R148       68                                         TopLayer    RESC1608X06L          17.2500      -41.5000     90       120                                                                                                                                    
R147       68                                         TopLayer    RESC1608X06L          26.4763      -40.7500     360      120                                                                                                                                    
R146       22K                                        TopLayer    RESC1608X06L          32.1750      -41.2000     270      Resistor                                                                                                                               
R145       22K                                        TopLayer    RESC1608X06L          17.2500      -44.7500     90       Resistor                                                                                                                               
R144       22K                                        TopLayer    RESC1608X06L          27.2282      -39.2000     180      Resistor                                                                                                                               
Q44        BC817-40                                   TopLayer    SOT23_N               30.8500      -44.6500     270      "NPN General-purpose Transistor"                                                                                                       
Q43        BC817-40                                   TopLayer    SOT23_N               20.0000      -41.2000     360      "NPN General-purpose Transistor"                                                                                                       
Q42        BC817-40                                   TopLayer    SOT23_N               30.6500      -48.4500     270      "NPN General-purpose Transistor"                                                                                                       
Q41        BC817-40                                   TopLayer    SOT23_N               26.5000      -43.5000     270      "NPN General-purpose Transistor"                                                                                                       
Q40        BC817-40                                   TopLayer    SOT23_N               22.8500      -41.5000     360      "NPN General-purpose Transistor"                                                                                                       
Q39        BC817-40                                   TopLayer    SOT23_N               27.1000      -47.5000     270      "NPN General-purpose Transistor"                                                                                                       
D38        BT5050RGBC-T180                            TopLayer    LEDSMD5               22.0000      -47.0000     270      $0.027/2000k                                                                                                                           
